sample_ind,rho,sim_steps
173,3.5096277676969976,2013
174,4.5574765394055845,1785
175,4.2412030564276915,1752
176,3.993463682749793,1729
177,4.396529294236869,1773
178,2.236071100642466,1761
179,1.6130994837781714,1746
180,1.7284961491552853,1988
181,3.562187988228599,1736
182,1.9802320457300437,1767
183,2.242360388360227,1718
184,3.9193395380844844,1774
185,2.0082133554213346,1712
186,3.974957807889634,1745
187,4.379983928695552,1760
188,2.7612724387827488,1758
189,2.605893166748622,1994
190,-0.025613620061744058,1524
