sample_ind,rho,sim_steps
96,3.225394917028206,2000
97,2.585684816552174,1995
98,4.582064770967001,1762
99,4.307778894878529,1774
100,1.9187927365331259,1763
101,2.9477983876598,1764
102,2.969449264417258,1764
103,4.6173246945405495,1765
104,4.610124894351733,1783
105,3.2621529789107964,1758
106,1.6569378236681027,2023
107,3.5434785923059327,1760
108,2.6575933588481657,1723
109,3.9497884302965947,1740
110,4.027820844825694,1984
111,3.7630394633643416,1759
112,3.091289721509936,1989
113,2.7018084701979923,1737
114,2.6768405127985044,1735
115,2.6786022073456888,1773
116,3.3880176044305887,1748
117,3.8913823544345068,1777
118,3.8962401452990747,1731
119,2.8553049647780995,1751
120,3.268221172131927,2010
121,-0.006976912036641636,1566
